place_id,canonical_name,qa_kind,qa_status,before_link_count,after_link_count,action,added_map_id,added_map_title,added_url
P277,벳바게,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P277,Google Maps 검색: 벳바게,https://www.google.com/maps/search/?api=1&query=%EB%B2%B3%EB%B0%94%EA%B2%8C
P280,브누엘,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P280,Google Maps 검색: 브누엘,https://www.google.com/maps/search/?api=1&query=%EB%B8%8C%EB%88%84%EC%97%98
P018,브니엘,bmpi,map_error,1,1,removed_failed_links_kept_other_links,,,
P123,블레셋,bmpi,no_label,7,1,added_google_fallback,GOOGLE-QA-REPAIR-P123,Google Maps 검색: 블레셋,https://www.google.com/maps/search/?api=1&query=%EB%B8%94%EB%A0%88%EC%85%8B
P284,비블로스,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P284,Google Maps 검색: 비블로스,https://www.google.com/maps/search/?api=1&query=%EB%B9%84%EB%B8%94%EB%A1%9C%EC%8A%A4
P286,빌립보 가이사랴,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P286,Google Maps 검색: 빌립보 가이사랴,https://www.google.com/maps/search/?api=1&query=%EB%B9%8C%EB%A6%BD%EB%B3%B4%20%EA%B0%80%EC%9D%B4%EC%82%AC%EB%9E%B4
P290,살림,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P290,Google Maps 검색: 살림,https://www.google.com/maps/search/?api=1&query=%EC%82%B4%EB%A6%BC
P049,소렉 골짜기,bmpi,map_error,1,1,removed_failed_links_kept_other_links,,,
P188,실루기아,bmpi,no_label,2,1,added_google_fallback,GOOGLE-QA-REPAIR-P188,Google Maps 검색: 실루기아,https://www.google.com/maps/search/?api=1&query=%EC%8B%A4%EB%A3%A8%EA%B8%B0%EC%95%84
P305,쓴 물,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P305,Google Maps 검색: 쓴 물,https://www.google.com/maps/search/?api=1&query=%EC%93%B4%20%EB%AC%BC
P101,아라랏산,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P101,Google Maps 검색: 아라랏산,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EB%9D%BC%EB%9E%8F%EC%82%B0
P034,아르논 골짜기,bmpi,no_label,4,1,added_google_fallback,GOOGLE-QA-REPAIR-P034,Google Maps 검색: 아르논 골짜기,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EB%A5%B4%EB%85%BC%20%EA%B3%A8%EC%A7%9C%EA%B8%B0
P190,아벡,bmpi,no_label,2,1,added_google_fallback,GOOGLE-QA-REPAIR-P190,Google Maps 검색: 아벡,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EB%B2%A1
