place_id,canonical_name,grade,era,url,status
P110,우스 땅,A,지혜문학,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdna%2FMDRfB%2Fbtq4f1N97PV%2FAAAAAAAAAAAAAAAAAAAAABADtRNI1yKIixcToVD96IDcFnEoa4OT8P28PBXz9c9o%2Fimg.jpg%3Fcredential%3DyqXZFxpELC7KVnFOS48ylbz2pIh7yKj8%26expires%3D1782831599%26allow_ip%3D%26allow_referer%3D%26signature%3DD1kpGbveMHkH2NjJUzaKxQoEiXA%253D,user_provided_pending_visual_qa
P111,길보아산,A,"통일왕국시대,구약",https://m.blog.naver.com/johneye/221765066992?view=img_1,user_provided_pending_visual_qa
P357,아둘람 굴,,구약,https://m1.daumcdn.net/cfile261/image/271C734B57BB70392D6EB8,user_provided_pending_visual_qa
P358,기럇여아림,,구약,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdna%2FdqTccf%2FbtrBF5Fh2Ae%2FAAAAAAAAAAAAAAAAAAAAACZqKCznptOwXNeW0j3dy_ABK7JDPAiDC3ajO_-cOwqe%2Fimg.jpg%3Fcredential%3DyqXZFxpELC7KVnFOS48ylbz2pIh7yKj8%26expires%3D1782831599%26allow_ip%3D%26allow_referer%3D%26signature%3Da66Yi%252BV6usrRY6Qa6qbMZpsn8kQ%253D,user_provided_pending_visual_qa
P359,엘라 골짜기,,구약,https://blog.naver.com/PostView.naver?blogId=histigma_j&logNo=221362421697&categoryNo=24&parentCategoryNo=0&photoView=2,user_provided_pending_visual_qa
P360,소돔과 고모라,,구약,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEizFJBDeVT4fTb4TmmMq8qHUcjRupdTF3gkizZewZ7DpMS8I2H2aQ2p81HZTjuzHjIlzeN8l168rXurxS4sQVeCcOxxvqwO8LoNMmW3fFSdmKffKjY3lXpxW4nr_ZyK_d2BnuZyWW9WRxZ-/s1600/%25EB%25A1%25AF+%25EA%25B5%25AC%25EC%25B6%259C+%25EC%259E%2591%25EC%25A0%2584.gif,user_provided_pending_visual_qa
P361,놉,,구약,https://m.blog.naver.com/weddingbhc/221994486863?view=img_5,user_provided_pending_visual_qa
P362,멜리데섬,,신약,https://blog.naver.com/holydewglory/223130729866?photoView=0,user_provided_pending_visual_qa
P366,그일라,,구약,https://m.blog.naver.com/weddingbhc/221994486863?view=img_5,user_provided_pending_visual_qa
P367,십 광야,,구약,https://m.blog.naver.com/johneye/221761297451?view=img_6,user_provided_pending_visual_qa
P368,마온 광야,,구약,https://m.blog.naver.com/johneye/221761297451?view=img_6,user_provided_pending_visual_qa
P374,베데스다,,신약,https://m.blog.naver.com/dkramy/221616413946?view=img_1,user_provided_pending_visual_qa
P378,뱃새다,,신약,https://cms.ibep-prod.com/app/uploads/sites/22/2026/03/nkt_map_43.jpg,user_provided_pending_visual_qa
P379,나인 성,,신약,https://m.blog.naver.com/otnt2018/221777542569?view=img_4,user_provided_pending_visual_qa
P380,수가 성,,신약,https://cms.ibep-prod.com/app/uploads/sites/22/2026/03/nkt_map_43.jpg,user_provided_pending_visual_qa
P382,세렛 시내,,구약,http://www.christiantoday.co.kr/files/article/db/2015/11/13/1447391586_1167610aa1.jpg,user_provided_pending_visual_qa
P390,아이 성,,구약,https://cms.ibep-prod.com/app/uploads/sites/22/2026/03/nkt_map_07.jpg,user_provided_pending_visual_qa
P394,딤나,,구약,https://m.blog.naver.com/skjung2205/223513865824?view=img_4,user_provided_pending_visual_qa
P405,시온 성,,구약,https://cms.ibep-prod.com/app/uploads/sites/22/2026/03/nkt_map_18.jpg,user_provided_pending_visual_qa
P409,다윗 성,,구약,https://cms.ibep-prod.com/app/uploads/sites/22/2026/03/nkt_map_18.jpg,user_provided_pending_visual_qa
P417,다시스,,구약,https://blog.naver.com/ccc192000/223473224082?photoView=1,user_provided_pending_visual_qa
P420,빌립보 감옥,,신약,https://m.blog.naver.com/skjung2205/223437638210?view=img_2,user_provided_pending_visual_qa
P421,아레오바고,,신약,https://m.blog.naver.com/skjung2205/223437638210?view=img_16,user_provided_pending_visual_qa
P422,겐그레아 교회,,신약,https://m.blog.naver.com/skjung2205/223437638210?view=img_2,user_provided_pending_visual_qa
P423,에브라임 광야,,신약,https://m1.daumcdn.net/cfile282/image/205E110C4B12EDE8362AF7,user_provided_pending_visual_qa
P424,디베랴 바다,,신약,https://cms.ibep-prod.com/app/uploads/sites/22/2026/03/nkt_map_43.jpg,user_provided_pending_visual_qa
P426,두로와 시돈 지경,,신약,https://cms.ibep-prod.com/app/uploads/sites/22/2026/03/nkt_map_43.jpg,user_provided_pending_visual_qa
P427,달마누다 지방,,신약,https://cnts-image.godpeople.com/47/52047/700_7278.jpg,user_provided_pending_visual_qa
P428,야곱의 우물,,"구약,신약",https://cms.ibep-prod.com/app/uploads/sites/22/2026/03/nkt_map_43.jpg,user_provided_pending_visual_qa
P429,요단강 건너편 베다니,,신약,https://t1.daumcdn.net/cafeattach/1LtGH/81abe14771a6940cd0a8437794075d9680d013af,user_provided_pending_visual_qa
